;Només català;Més català que castellà;Català i castellà;Més castellà que català;Només castellà;Altres llengües
Membres de la llar (1);26,7;5,2;8;10;39,6;4,6
Amistats;15;15,9;15,7;13,1;30,7;1,7
Veïns;17,3;14,6;15,7;11,4;37,5;0,5
Companys d'estudi (2);20,5;22,4;17,4;14,2;16,6;1,6
Companys de feina (3);16,7;16,3;17,1;13,5;26;0,9
Usuaris o clients de Catalunya (4);12,6;27,3;23,7;12,7;18,4;0,6
Petit comerç;21,4;17,7;14,9;10,9;33,2;0,2
Gran comerç;17,9;15,7;15,3;12,8;35,9;..
Entitats financeres;30,7;11,6;11,5;7,8;35,5;0,2
Administració local;37,5;10,4;7,9;6,7;32,2;0,1
Administració de la Generalitat de Catalunya;37,5;8,7;6,8;6,3;29,8;..
Administració de l'Estat;22,4;13;11;10;37,5;..
Personal mèdic;27,8;12,5;12;7,1;39,2;0,3
Escriure notes personals;22,6;5,2;7,3;8,5;47,3;2,2
Escriure missatges de mòbil;..;..;..;..;..;..
